edge_id,origin_page,source,recorded_at
1,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/paper.md,2026-08-29 07:49:41
2,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
3,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
4,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
5,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
6,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
7,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
8,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
9,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
10,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
11,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
12,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
13,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
14,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
15,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
16,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
17,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
18,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
19,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
20,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
21,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,2026-08-29 07:49:41
22,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/paper.md,2026-08-29 07:49:41
23,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/paper.md,2026-08-29 07:49:41
24,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/paper.md,2026-08-29 07:49:41
25,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/paper.md,2026-08-29 07:49:41
26,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/paper.md,2026-08-29 07:49:41
27,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/paper.md,2026-08-29 07:49:42
28,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
29,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
30,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
31,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
32,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
33,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
34,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
35,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
36,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
37,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
38,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
39,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
40,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
41,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
42,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
43,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,2026-08-29 07:49:42
44,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/paper.md,2026-08-29 07:49:43
45,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
46,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
47,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
48,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
49,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
50,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
51,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
52,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
53,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
54,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
55,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
56,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
57,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
58,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
59,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
60,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
61,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
62,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
63,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
64,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
65,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
66,academic/wiki/papers/D003-2012-spin-1-chain-闫,raw-not-distributed/D003-2012-spin-1-chain-闫/wiki.md#semantic,2026-08-29 07:49:43
