path,title,type,entity_subtype,source_type,date,status,has_raw_source,ingest_version,description
1/3平台无序相,1/3平台无序相,entity,proposition,,,current,0,0,
1/3磁化平台的稳定机制,1/3磁化平台的稳定机制,entity,proposition,,,current,0,0,
5/9平台部分有序亚铁相,5/9平台部分有序亚铁相,entity,proposition,,,current,0,0,
A. Bermudez,A. Bermudez,entity,person,,,current,0,0,
A. Piga,A. Piga,entity,person,,,current,0,0,
ADQC,自动可微量子电路automatically differentiable quantum circuit(ADQC),entity,keyword,,,current,0,0,
ADTN,自动可微张量网络automatically differentiable tensor network(ADTN),entity,keyword,,,current,0,0,
AOP,ab initio优化原理ab initio optimization principle(AOP),entity,keyword,,,current,0,0,
APL,代数顺磁液体algebraic paramagnetic liquid(APL),entity,keyword,,,current,0,0,
AlexNet,AlexNet,entity,keyword,,,current,0,0,
An-Chun Ji,An-Chun Ji,entity,person,,,current,0,0,
Andreas Weichselbaum,Andreas Weichselbaum,entity,person,,,current,0,0,
Andrew J. Ferris,Andrew J. Ferris,entity,person,,,current,0,0,
Angelo Piga,Angelo Piga,entity,person,,,current,0,0,
BDI对称类BDI symmetry class,BDI对称类BDI symmetry class,entity,keyword,,,current,0,0,
BEE,双点纠缠熵bipartite entanglement entropy(BEE),entity,keyword,,,current,0,0,
BQP仅在偏离SU(2)对称的U(1)或Z₂对称体系中显现,BQP仅在偏离SU(2)对称的U(1)或Z₂对称体系中显现,entity,proposition,,,current,0,0,
Bethe 近似,Bethe 近似,entity,keyword,,,current,0,0,
Bin Xi,Bin Xi,entity,person,,,current,0,0,
Bing-Wu Wang,Bing-Wu Wang,entity,person,,,current,0,0,
Born机,Born机,entity,keyword,,,current,0,0,
Born统计解释,Born统计解释,entity,keyword,,,current,0,0,
CFT,共形场论conformal field theory(CFT),entity,keyword,,,current,0,0,
CIFAR-10,CIFAR-10,entity,keyword,,,current,0,0,
CIFAR-100,CIFAR-100,entity,keyword,,,current,0,0,
CNN,卷积神经网络convolutional neural network(CNN),entity,keyword,,,current,0,0,
COO,正交性灾变catastrophe of orthogonality(COO),entity,keyword,,,current,0,0,
CP分解,CP分解,entity,keyword,,,current,0,0,
CQOs,耦合量子振子coupled quantum oscillators(CQOs),entity,proposition,,,current,0,0,
CSW,可控自旋链controllable spin wire(CSW),entity,keyword,,,current,0,0,
Chao Gao,Chao Gao,entity,person,,,current,0,0,
Cheng Peng,Cheng Peng,entity,person,,,current,0,0,
Chin. Phys. B,Chin. Phys. B,entity,keyword,,,current,0,0,
Cu2L1(N3)4 n,Cu2L1(N3)4 n,entity,person,,,current,0,0,
DCT,离散余弦变换discrete cosine transform(DCT),entity,keyword,,,current,0,0,
DFT,密度泛函理论密度泛函理论(DFT),entity,keyword,,,current,0,0,
DMET,密度矩阵嵌入理论density matrix embedding theory(DMET),entity,keyword,,,current,0,0,
DMF,Co(N₃)₂(bpg)·DMF_{4/3},entity,proposition,,,current,0,0,
DMFT,动力学平均场dynamical mean-field theory(DMFT),entity,keyword,,,current,0,0,
DMPSC,判别式矩阵乘积态分类器discriminative matrix product state classifier(DMPSC),entity,keyword,,,current,0,0,
DMRG,密度矩阵重整化群density matrix renormalization group(DMRG),entity,keyword,,,current,0,0,
DNN,深度神经网络deep neural network(DNN),entity,keyword,,,current,0,0,
DNN灵活性绕开赝势与不完备基组在传统QMC中的限制,DNN灵活性绕开赝势与不完备基组在传统QMC中的限制,entity,proposition,,,current,0,0,
Da-zhi Fang,Da-zhi Fang,entity,person,,,current,0,0,
Delta,工作区间0≤Delta±theta≤2J覆盖混沌与非遍历两区,entity,keyword,,,current,0,0,
Delta-theta,沿链线性变化的两端取值Delta-theta与Delta+theta,entity,keyword,,,current,0,0,
Ding Liu,Ding Liu,entity,person,,,current,0,0,
Ding-Zu Wang,Ding-Zu Wang,entity,person,,,current,0,0,
EBH,纠缠浴哈密顿量entanglement bath Hamiltonian(EBH),entity,keyword,,,current,0,0,
EPL,EPL,entity,keyword,,,current,0,0,
ESN,回声状态网络echo state network(ESN),entity,keyword,,,current,0,0,
ETH,本征态热化eigenstate thermalization(ETH),entity,keyword,,,current,0,0,
ETH矩阵元统计ETH matrix elements,ETH矩阵元统计ETH matrix elements,entity,keyword,,,current,0,0,
Emanuele Tirrito,Emanuele Tirrito,entity,person,,,current,0,0,
Eur. Phys. J. B,Eur. Phys. J. B,entity,keyword,,,current,0,0,
Exponential Machines,Exponential Machines,entity,keyword,,,current,0,0,
FC-2,FC-2,entity,keyword,,,current,0,0,
FCI,全配置相互作用方法full configuration interaction(FCI),entity,keyword,,,current,0,0,
FGTO,细粒度时间优化fine-grained time optimization(FGTO),entity,keyword,,,current,0,0,
FNO,傅里叶神经算子Fourier neural operator(FNO),entity,keyword,,,current,0,0,
FTN,函数张量网络functional tensor network(FTN),entity,keyword,,,current,0,0,
Factorization Machines,Factorization Machines,entity,keyword,,,current,0,0,
Fei Ye,Fei Ye,entity,person,,,current,0,0,
FermiNet,FermiNet,entity,keyword,,,current,0,0,
Floquet,周期旋转自旋轴Floquet工程化XXZ相互作用,entity,keyword,,,current,0,0,
Floquet工程化,Floquet工程化,entity,keyword,,,current,0,0,
Floquet驱动,Floquet驱动,entity,keyword,,,current,0,0,
Frank Noé,Frank Noé,entity,person,,,current,0,0,
Frontiers in Applied Mathematics and Statistics,Frontiers in Applied Mathematics and Statistics,entity,keyword,,,current,0,0,
GCNN,图卷积神经网络graph convolutional neural network(GCNN),entity,keyword,,,current,0,0,
GMPSC,生成式矩阵乘积态分类器generative matrix product state classifier(GMPSC),entity,keyword,,,current,0,0,
GNN,图神经网络graph neural network(GNN),entity,keyword,,,current,0,0,
GTNC,生成式张量网络分类generative tensor network classification(GTNC),entity,keyword,,,current,0,0,
Gang Su,Gang Su,entity,person,,,current,0,0,
Gromov-Wasserstein距离作为训练目标实现端到端优化,Gromov-Wasserstein距离作为训练目标实现端到端优化,entity,proposition,,,current,0,0,
Guo-Feng Zhang,Guo-Feng Zhang,entity,person,,,current,0,0,
Haldane,单态二聚体极限与Haldane链极限,entity,keyword,,,current,0,0,
Hao Zhu,Hao Zhu,entity,person,,,current,0,0,
Hao-Wei Cui,Hao-Wei Cui,entity,person,,,current,0,0,
Hartree–Fock方法,Hartree–Fock方法,entity,keyword,,,current,0,0,
IGNR,经典图生成函数学习神经网络graphon neural representation(IGNR),entity,keyword,,,current,0,0,
ITSA,虚时间扫描算法imaginary-time-sweep algorithm(ITSA),entity,keyword,,,current,0,0,
Ian P. McCulloch,Ian P. McCulloch,entity,person,,,current,0,0,
Intell. Comput.,Intell. Comput.,entity,keyword,,,current,0,0,
J. Jünemann,J. Jünemann,entity,person,,,current,0,0,
Jan Hermann,Jan Hermann,entity,person,,,current,0,0,
Jan von Delft,Jan von Delft,entity,person,,,current,0,0,
Jastrow因子,Jastrow因子,entity,keyword,,,current,0,0,
Javier Argüello-Luengo,Javier Argüello-Luengo,entity,person,,,current,0,0,
Jia-Hao Wang,Jia-Hao Wang,entity,person,,,current,0,0,
Jiaming Zhao,Jiaming Zhao,entity,person,,,current,0,0,
Jian Cui,Jian Cui,entity,person,,,current,0,0,
Jie Hu,Jie Hu,entity,person,,,current,0,0,
Jing Zhang,Jing Zhang,entity,person,,,current,0,0,
Journal of University of Chinese Academy of Sciences,Journal of University of Chinese Academy of Sciences,entity,keyword,,,current,0,0,
KT,Kosterlitz-Thouless相变Kosterlitz-Thouless phase transition(KT),entity,keyword,,,current,0,0,
Ke Li,Ke Li,entity,person,,,current,0,0,
Kun Zhang,Kun Zhang,entity,person,,,current,0,0,
Kunkun Wang,Kunkun Wang,entity,person,,,current,0,0,
LSTM,长短期记忆网络long short-term memory(LSTM),entity,keyword,,,current,0,0,
LTRG,线性化张量重正化群linearized tensor renormalization group(LTRG),entity,keyword,,,current,0,0,
LeNet-5,LeNet-5,entity,keyword,,,current,0,0,
Lei Xiao,Lei Xiao,entity,person,,,current,0,0,
M. Lewenstein,M. Lewenstein,entity,person,,,current,0,0,
M. Rizzi,M. Rizzi,entity,person,,,current,0,0,
MBL,多体局域化many-body localization(MBL),entity,keyword,,,current,0,0,
MBL相互作用模型,MBL相互作用模型,entity,keyword,,,current,0,0,
MERA,多尺度纠缠重正化拟设态multiscale entanglement renormalization ansatz(MERA),entity,keyword,,,current,0,0,
MNIST,MNIST手写数字数据集MNIST,entity,keyword,,,current,0,0,
MPD,矩阵乘积解纠缠器matrix product disentangler(MPD),entity,keyword,,,current,0,0,
MPNN,Metropolis势神经网络Metropolis potential neural network(MPNN),entity,keyword,,,current,0,0,
MPO,矩阵乘积算符matrix product operator(MPO),entity,keyword,,,current,0,0,
MPS,矩阵乘积态matrix product state(MPS),entity,keyword,,,current,0,0,
MR-CC,多参考耦合簇multi-reference coupled cluster(MR-CC),entity,keyword,,,current,0,0,
MUSCO,多尺度张量优化multiscale tensor optimization(MUSCO),entity,keyword,,,current,0,0,
Maciej Lewenstein,Maciej Lewenstein,entity,person,,,current,0,0,
Mathematics,Mathematics,entity,keyword,,,current,0,0,
Meng Wang,Meng Wang,entity,person,,,current,0,0,
Metropolis采样,Metropolis采样,entity,keyword,,,current,0,0,
NCD,网络收缩动力学network contractor dynamics(NCD),entity,keyword,,,current,0,0,
NLF,负对数保真度距离negative log-fidelity(NLF),entity,keyword,,,current,0,0,
NN-RVB,最近邻共振价键态nearest-neighbor resonating valence bond state(NN-RVB),entity,keyword,,,current,0,0,
NSSL,非参数半监督学习non-parametric semi-supervised learning(NSSL),entity,keyword,,,current,0,0,
NTD,网络Tucker分解network Tucker decomposition(NTD),entity,keyword,,,current,0,0,
NTENP化合物实验数据,NTENP化合物实验数据,entity,keyword,,,current,0,0,
New J. Phys.,New J. Phys.,entity,keyword,,,current,0,0,
Ning Xi,Ning Xi,entity,person,,,current,0,0,
Néel相,Néel相,entity,keyword,,,current,0,0,
Néel相纠缠熵随截断维度呈对数标度,Néel相纠缠熵随截断维度呈对数标度,entity,proposition,,,current,0,0,
ODTNS,面向密度张量网络态orientation-dependent tensor network state(ODTNS),entity,keyword,,,current,0,0,
OH,赫伯史密斯矿Herbertsmithite(ZnCu₃(OH)₆Cl₂),entity,keyword,,,current,0,0,
PCA,主成分分析principal component analysis(PCA),entity,keyword,,,current,0,0,
PEPO,投影纠缠对算符projected entangled pair operator(PEPO),entity,keyword,,,current,0,0,
PEPS,投影纠缠对态projected entangle pair state(PEPS),entity,keyword,,,current,0,0,
PESS,投影纠缠单纯态projected entangled simplex state(PESS),entity,keyword,,,current,0,0,
PT-DMRG,矩阵乘积态切空间微扰理论perturbation theory of the DMRG(PT-DMRG),entity,keyword,,,current,0,0,
Page,随机幺正演化下纠缠增长偏离Page值,entity,keyword,,,current,0,0,
Page值,Page值,entity,keyword,,,current,0,0,
PauliNet,用PauliNet求解电子薛定谔方程,entity,keyword,,,current,0,0,
Pei Shi,Pei Shi,entity,person,,,current,0,0,
Peng Xue,Peng Xue,entity,person,,,current,0,0,
Peng Zhang,Peng Zhang,entity,person,,,current,0,0,
Peng-Fei Zhou,Peng-Fei Zhou,entity,person,,,current,0,0,
Peter Wittek,Peter Wittek,entity,person,,,current,0,0,
Photonics Research,Photonics Research,entity,keyword,,,current,0,0,
Phys. Rev. B,Phys. Rev. B,entity,keyword,,,current,0,0,
PhysNet,PhysNet,entity,keyword,,,current,0,0,
Piotr Sierant,Piotr Sierant,entity,person,,,current,0,0,
Potts,各向异性三态Potts模型的相结构与再入现象,entity,keyword,,,current,0,0,
QES,量子纠缠模拟器quantum entanglement simulator(QES),entity,keyword,,,current,0,0,
QFT,量子傅里叶变换quantum Fourier transform(QFT),entity,keyword,,,current,0,0,
QKF,量子核函数quantum kernel function(QKF),entity,keyword,,,current,0,0,
QPNN,量子势神经网络quantum potential neural network(QPNN),entity,keyword,,,current,0,0,
QR分解,QR分解,entity,keyword,,,current,0,0,
Qing-Rong Zheng,Qing-Rong Zheng,entity,person,,,current,0,0,
Quantum Science and Technology,Quantum Science and Technology,entity,keyword,,,current,0,0,
QubismNet将Qubism图像化与CNN回归结合以估计哈密顿量物理参数,QubismNet将Qubism图像化与CNN回归结合以估计哈密顿量物理参数,entity,proposition,,,current,0,0,
RD,环简并度ring degeneracy(RD),entity,keyword,,,current,0,0,
RDM,约化密度矩阵reduced density matrix(RDM),entity,keyword,,,current,0,0,
RLF,重标度对数保真度rescaled logarithmic fidelity(RLF),entity,keyword,,,current,0,0,
RLF-NSSL,RLF-NSSL,entity,keyword,,,current,0,0,
RMT,随机矩阵理论random matrix theory(RMT),entity,keyword,,,current,0,0,
Raul Blázquez García,Raul Blázquez García,entity,person,,,current,0,0,
ResMPS与Factorization Machines及Exponential Machines的多项式展开等价性,ResMPS与Factorization Machines及Exponential Machines的多项式展开等价性,entity,proposition,,,current,0,0,
ResMPS变分参数本身是输入特征的函数,ResMPS变分参数本身是输入特征的函数,entity,proposition,,,current,0,0,
Residual matrix product state,Residual matrix product state(ResMPS),entity,keyword,,,current,0,0,
Rui Hong,Rui Hong,entity,person,,,current,0,0,
Rydberg原子阵列,Rydberg原子阵列,entity,keyword,,,current,0,0,
S.-J. Ran,S.-J. Ran,entity,person,,,current,0,0,
SEE,单点纠缠熵single-site entanglement entropy(SEE),entity,keyword,,,current,0,0,
