step,entry_id,is_sensitivity_entry,R_observed,R_observation_excluding_sensitivity_entry,R_cumulative,R_cumulative_excluding_sensitivity_entry,M_observed,M_direct_contribution_excluding_sensitivity_entry,M_numerator_excluding_sensitivity_entry,M_denominator_excluding_sensitivity_entry,sensitivity_entry_exclusive_nodes,C_observed,C_direct_nodes_excluding_sensitivity_entry,C_excluded_old_nodes
1,2010-distorted-kagome,False,0,0,0,0,0,0,0,12,0,,,0
2,2010-ltrg,False,0,0,0,0,0,0,0,19,0,0,0,0
3,2012-spin-1-chain-闫,False,0.111111111111,0.111111111111,0.0555555555556,0.0555555555556,0.0571428571429,0.0571428571429,2,35,0,0,0,0
4,2012-odtns,False,0.0869565217391,0.0869565217391,0.0677966101695,0.0677966101695,0.0714285714286,0.0714285714286,4,56,0,0,0,0
5,2014-zhaoyanghoneycombladder,False,0.153846153846,0.153846153846,0.0833333333333,0.0833333333333,0.0746268656716,0.0746268656716,5,67,0,0,0,0
6,2013-ncd-physrevb88064407,False,0.238095238095,0.238095238095,0.118279569892,0.118279569892,0.10843373494,0.10843373494,9,83,0,0,0,0
7,2013-kt-phase,False,0.1875,0.1875,0.136,0.136,0.100917431193,0.100917431193,11,109,0,0,0,0
8,2014-husimi,False,0.3125,0.3125,0.156028368794,0.156028368794,0.108333333333,0.108333333333,13,120,0,0,0,0
9,2016-aop-physreve93053310,False,0.291666666667,0.291666666667,0.175757575758,0.175757575758,0.124087591241,0.124087591241,17,137,0,0,0,0
10,2015-sierpinskie2015-60745-5,False,0.333333333333,0.333333333333,0.191256830601,0.191256830601,0.120805369128,0.120805369128,18,149,0,0,0,0
11,2017-ptdmrgphysrevb95064110,False,0.363636363636,0.363636363636,0.201030927835,0.201030927835,0.128205128205,0.128205128205,20,156,0,0,0,0
12,2017-octa-kagome,False,0.315789473684,0.315789473684,0.211267605634,0.211267605634,0.14201183432,0.14201183432,24,169,0,0.0192307692308,0.0192307692308,0
13,2017-criticality-tn-2d,False,0.225806451613,0.225806451613,0.213114754098,0.213114754098,0.124352331606,0.124352331606,24,193,0,0.00591715976331,0.00591715976331,0
14,2017-fewbody-qes-ground-states,False,0.0322580645161,0.0322580645161,0.192727272727,0.192727272727,0.107623318386,0.107623318386,24,223,0,0.0103626943005,0.0103626943005,0
15,2017-cruezphysrevx7031057,False,0,0,0.18275862069,0.18275862069,0.100840336134,0.100840336134,24,238,0,0.0313901345291,0.0313901345291,0
16,2018-kagome-chenxi,False,0.4,0.4,0.196774193548,0.196774193548,0.104,0.104,26,250,0,0.0126050420168,0.0126050420168,0
17,2018-emergent-spin-1-trimerized-valence-bond-crystal,False,0.285714285714,0.285714285714,0.202416918429,0.202416918429,0.101886792453,0.101886792453,27,265,0,0.008,0.008,0
18,2018-csw-physrevb98085111,False,0.0714285714286,0.0714285714286,0.197101449275,0.197101449275,0.0971223021583,0.0971223021583,27,278,0,0.00754716981132,0.00754716981132,0
19,2018-pc-epjb,False,0.533333333333,0.533333333333,0.211111111111,0.211111111111,0.101398601399,0.101398601399,29,286,0,0.00359712230216,0.00359712230216,0
20,2018-091彭程,False,0.416666666667,0.416666666667,0.217741935484,0.217741935484,0.102040816327,0.102040816327,30,294,0,0.0174825174825,0.0174825174825,0
21,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,False,0.25,0.25,0.219387755102,0.219387755102,0.0967741935484,0.0967741935484,30,310,0,0.00680272108844,0.00680272108844,0
22,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,False,0.285714285714,0.285714285714,0.221674876847,0.221674876847,0.096875,0.096875,31,320,0,0,0,0
23,2019-finite-temperature-qes,False,0.354838709677,0.354838709677,0.231121281465,0.231121281465,0.102941176471,0.102941176471,35,340,0,0.0125,0.0125,0
24,2020-paulinets-hermann,False,0.0625,0.0625,0.219616204691,0.219616204691,0.0972972972973,0.0972972972973,36,370,0,0.00882352941176,0.00882352941176,0
25,2020-mps_deep_encoding_circuit,False,0.181818181818,0.181818181818,0.21875,0.21875,0.0949868073879,0.0949868073879,36,379,0,0.0027027027027,0.0027027027027,0
26,2020-sawtooth,False,0.214285714286,0.214285714286,0.218623481781,0.218623481781,0.0923076923077,0.0923076923077,36,390,0,0,0,0
27,2020-gtnc,False,0.333333333333,0.333333333333,0.223300970874,0.223300970874,0.0965346534653,0.0965346534653,39,404,0,0,0,0
28,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,False,0.0909090909091,0.0909090909091,0.220532319392,0.220532319392,0.0942028985507,0.0942028985507,39,414,0,0,0,0
29,2020-tncs-physrevresearch2033293,False,0.136363636364,0.136363636364,0.217153284672,0.217153284672,0.0900692840647,0.0900692840647,39,433,0,0,0,0
30,2021-qubismnet,False,0.363636363636,0.363636363636,0.220035778175,0.220035778175,0.0886363636364,0.0886363636364,39,440,0,0.0115473441109,0.0115473441109,0
31,2021-adqc,False,0.157894736842,0.157894736842,0.217993079585,0.217993079585,0.0877192982456,0.0877192982456,40,456,0,0.00681818181818,0.00681818181818,0
32,2021-卢迎fgto,False,0.0588235294118,0.0588235294118,0.213445378151,0.213445378151,0.0868644067797,0.0868644067797,41,472,0,0,0,0
33,2021-quantum-phase-visualization,False,0.2,0.2,0.213114754098,0.213114754098,0.0867768595041,0.0867768595041,42,484,0,0,0,0
