step,year,hub_id,hub_label,member_count,supporting_paper_count
12,2017,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,5,3
13,2017,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,6,5
14,2017,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,7,6
14,2017,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,2,2
15,2017,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,7,6
15,2017,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,5,4
16,2018,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,10,7
16,2018,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,6,2
17,2018,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,10,8
17,2018,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,4
18,2018,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,10,8
18,2018,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,4
19,2018,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,11,9
19,2018,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,5
20,2019,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,10
20,2019,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,6
20,2019,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,5
20,2019,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
21,2019,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,11
21,2019,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,7
21,2019,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,5
21,2019,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
22,2019,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,12
22,2019,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,7
22,2019,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
22,2019,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
22,2019,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,2,1
23,2019,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,13
23,2019,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,7
23,2019,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
23,2019,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
23,2019,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
23,2019,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
24,2020,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,14
