step,entry_id,work_id,publication_date,title,page,reuse,create,abstain,reuse_fraction_R,eligible_canonical_nodes,multi_source_nodes,multi_source_consolidation_M,old_nodes,changed_old_nodes,old_node_membership_churn_C,candidate_event_count,committed_event_count,hub_births,hub_splits,hub_merges,hub_retirements,is_sensitivity_entry
1,2010-distorted-kagome,2010-distorted-kagome,2010,Phase transitions and thermodynamics of the two-dimensional Ising model on a distorted kagome lattice,academic/wiki/papers/D001-2010-distorted-kagome,0,11,0,0,12,0,0,0,0,,0,0,0,0,0,0,False
2,2010-ltrg,2010-ltrg,2011,Linearized Tensor Renormalization Group Algorithm for the Calculation of Thermodynamic Properties of Quantum Lattice Models,academic/wiki/papers/D002-2010-ltrg,0,7,0,0,19,0,0,12,0,0,0,0,0,0,0,0,False
3,2012-spin-1-chain-闫,2012-spin-1-chain-闫,2012,"Phase diagrams, distinct conformal anomalies, and thermodynamics of spin-1 bond-alternating Heisenberg antiferromagnetic chain in magnetic fields",academic/wiki/papers/D003-2012-spin-1-chain-闫,2,16,0,0.111111111111,35,2,0.0571428571429,19,0,0,0,0,0,0,0,0,False
4,2012-odtns,2012-odtns,2012,Optimized decimation of tensor networks with super-orthogonalization for two-dimensional quantum lattice models,academic/wiki/papers/D004-2012-odtns,2,21,0,0.0869565217391,56,4,0.0714285714286,35,0,0,0,0,0,0,0,0,False
5,2014-zhaoyanghoneycombladder,2014-zhaoyanghoneycombladder,2013,Honeycomb Heisenberg spin ladder: Unusual ground state and thermodynamic properties,academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,2,11,0,0.153846153846,67,5,0.0746268656716,56,0,0,0,0,0,0,0,0,False
6,2013-ncd-physrevb88064407,2013-ncd-physrevb88064407,2013,Theory of network contractor dynamics for exploring thermodynamic properties of two-dimensional quantum lattice models,academic/wiki/papers/D006-2013-ncd-physrevb88064407,5,16,0,0.238095238095,83,9,0.10843373494,67,0,0,0,0,0,0,0,0,False
7,2013-kt-phase,2013-kt-phase,2013,Kosterlitz-Thouless phase transition and re-entrance in an anisotropic three-state Potts model on the generalized kagome lattice,academic/wiki/papers/D007-2013-kt-phase,6,26,0,0.1875,109,11,0.100917431193,83,0,0,0,0,0,0,0,0,False
8,2014-husimi,2014-husimi,2014,"Featureless quantum spin liquid, 1-magnetization plateau state, and exotic thermodynamic properties of the spin-1 frustrated Heisenberg antiferromagnet on an infinite Husimi lattice",academic/wiki/papers/D008-2014-husimi,5,11,0,0.3125,120,13,0.108333333333,109,0,0,0,0,0,0,0,0,False
9,2016-aop-physreve93053310,2016-aop-physreve93053310,2016,Ab initio optimization principle for the ground states of translationally invariant strongly correlated quantum lattice models,academic/wiki/papers/D009-2016-aop-physreve93053310,7,17,0,0.291666666667,137,17,0.124087591241,120,0,0,0,0,0,0,0,0,False
10,2015-sierpinskie2015-60745-5,2015-sierpinskie2015-60745-5,2016,Phase diagram and exotic spin-spin correlations of anisotropic Ising model on the Sierpi´nski gasket,academic/wiki/papers/D010-2015-sierpinskie2015-60745-5,6,12,0,0.333333333333,149,18,0.120805369128,137,0,0,0,0,0,0,0,0,False
