hub_id,hub_label,work_id,paper_id,year,doi,supporting_member_node_count,official_gold
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2012-odtns,D004,2012,10.1103/PhysRevB.86.134429,7,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2013-ncd-physrevb88064407,D006,2013,10.1103/PhysRevB.88.064407,3,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2014-husimi,D008,2014,10.1103/PhysRevB.89.054426,2,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2016-aop-physreve93053310,D009,2016,10.1103/PhysRevE.93.053310,4,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2017-criticality-tn-2d,D013,2017,10.1103/PhysRevB.95.155114,3,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2017-octa-kagome,D012,2017,10.1103/PhysRevB.95.075140,1,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2017-ptdmrgphysrevb95064110,D011,2017,10.1103/PhysRevB.95.064110,2,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2018-091彭程,D020,2019,,2,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2018-emergent-spin-1-trimerized-valence-bond-crystal,D017,2018,10.1103/PhysRevB.97.075146,2,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2018-kagome-chenxi,D016,2018,10.1016/j.scib.2018.11.007,6,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2018-pc-epjb,D019,2018,10.1140/epjb/e2018-90197-2,3,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2019-finite-temperature-qes,D023,2019,10.1103/PhysRevB.99.205132,3,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,D021,2019,10.1088/1367-2630/ab31ef,3,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,D022,2019,10.1103/PhysRevB.99.195101,1,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2020-gtnc,D027,2020,10.1103/PhysRevB.101.075135,1,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2020-mps_deep_encoding_circuit,D025,2020,10.1103/PhysRevA.101.032310,2,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2020-paulinets-hermann,D024,2020,10.1038/s41557-020-0544-y,1,0
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2020-tncs-physrevresearch2033293,D029,2020,10.1103/PhysRevResearch.2.033293,2,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,D028,2020,10.1103/PhysRevE.102.012152,1,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2021-adqc,D031,2021,10.1103/PhysRevA.104.042601,2,1
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,2021-entanglement-feature-extraction,D037,2021,10.3389/fams.2021.716044,3,0
