paper_id,work_id,year,doi,is_aps_doi,official_gold,discipline_count,concept_count,coverage_status
D001,2010-distorted-kagome,2010,10.1103/PhysRevB.82.134434,1,0,0,0,aps_without_released_gold
D002,2010-ltrg,2011,10.1103/PhysRevLett.106.127202,1,0,0,0,aps_without_released_gold
D003,2012-spin-1-chain-闫,2012,10.1103/PhysRevB.85.134425,1,0,0,0,aps_without_released_gold
D004,2012-odtns,2012,10.1103/PhysRevB.86.134429,1,0,0,0,aps_without_released_gold
D005,2014-zhaoyanghoneycombladder,2013,,0,0,0,0,non_aps
D006,2013-ncd-physrevb88064407,2013,10.1103/PhysRevB.88.064407,1,0,0,0,aps_without_released_gold
D007,2013-kt-phase,2013,10.1103/PhysRevE.87.032151,1,0,0,0,aps_without_released_gold
D008,2014-husimi,2014,10.1103/PhysRevB.89.054426,1,0,0,0,aps_without_released_gold
D009,2016-aop-physreve93053310,2016,10.1103/PhysRevE.93.053310,1,1,1,3,official_gold
D010,2015-sierpinskie2015-60745-5,2016,10.1140/epjb/e2015-60745-5,0,0,0,0,non_aps
D011,2017-ptdmrgphysrevb95064110,2017,10.1103/PhysRevB.95.064110,1,1,1,3,official_gold
D012,2017-octa-kagome,2017,10.1103/PhysRevB.95.075140,1,1,1,9,official_gold
D013,2017-criticality-tn-2d,2017,10.1103/PhysRevB.95.155114,1,1,0,6,official_gold
D014,2017-fewbody-qes-ground-states,2017,10.1103/PhysRevB.96.155120,1,1,1,7,official_gold
D015,2017-cruezphysrevx7031057,2017,10.1103/PhysRevX.7.031057,1,1,2,2,official_gold
D016,2018-kagome-chenxi,2018,10.1016/j.scib.2018.11.007,0,0,0,0,non_aps
D017,2018-emergent-spin-1-trimerized-valence-bond-crystal,2018,10.1103/PhysRevB.97.075146,1,1,1,8,official_gold
D018,2018-csw-physrevb98085111,2018,10.1103/PhysRevB.98.085111,1,1,1,6,official_gold
D019,2018-pc-epjb,2018,10.1140/epjb/e2018-90197-2,0,0,0,0,non_aps
D020,2018-091彭程,2019,,0,0,0,0,non_aps
D021,2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,2019,10.1088/1367-2630/ab31ef,0,0,0,0,non_aps
D022,2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,2019,10.1103/PhysRevB.99.195101,1,1,1,7,official_gold
D023,2019-finite-temperature-qes,2019,10.1103/PhysRevB.99.205132,1,1,1,10,official_gold
D024,2020-paulinets-hermann,2020,10.1038/s41557-020-0544-y,0,0,0,0,non_aps
D025,2020-mps_deep_encoding_circuit,2020,10.1103/PhysRevA.101.032310,1,1,1,4,official_gold
D026,2020-sawtooth,2020,10.1103/PhysRevB.101.045133,1,1,1,5,official_gold
D027,2020-gtnc,2020,10.1103/PhysRevB.101.075135,1,1,4,5,official_gold
D028,2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,2020,10.1103/PhysRevE.102.012152,1,1,1,4,official_gold
D029,2020-tncs-physrevresearch2033293,2020,10.1103/PhysRevResearch.2.033293,1,1,1,4,official_gold
D030,2021-qubismnet,2021,10.1088/0256-307X/38/11/110301,0,0,0,0,non_aps
D031,2021-adqc,2021,10.1103/PhysRevA.104.042601,1,1,1,5,official_gold
D032,2021-卢迎fgto,2021,10.1103/PhysRevA.104.052413,1,1,2,5,official_gold
D033,2021-quantum-phase-visualization,2021,10.1103/PhysRevB.103.075106,1,1,2,3,official_gold
D034,2021-virtual-configuration-binarization,2021,10.1103/PhysRevE.103.013313,1,1,1,5,official_gold
D035,2021-光量子分类器,2021,10.1364/PRJ.434217,0,0,0,0,non_aps
