hub_id,hub_label,gold_paper_count,paper_pair_count,concept_exact_f1,discipline_exact_f1,facet_exact_f1
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,3,3,0.10256410256410257,0.3333333333333333,0.8666666666666667
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,17,136,0.18260327172069113,0.2696078431372549,0.8284313725490197
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,18,153,0.18690079781562813,0.29193899782135074,0.8344226579520697
academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,2,1,0.47058823529411764,1.0,1.0
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,2,1,0.14285714285714285,1.0,1.0
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,3,3,0.20875420875420878,0.3333333333333333,0.6666666666666666
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,10,45,0.15697730011455502,0.3333333333333333,0.8681481481481482
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,9,36,0.18140825224158558,0.14259259259259258,0.8472222222222222
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,2,1,0.18181818181818182,0.0,0.8
academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,2,1,0.11764705882352941,1.0,0.8
academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,2,1,0.125,1.0,0.8
